"FIPS","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
36111,175085,176526,96608,97458,98227,99049,99531,99433,99651,99910,100383,101497,101564,102111,103135
36113,62585,63031,177810,178440,180128,180942,181847,182438,182845,182818,183174,182638,182493,182647,181811
36115,60851,61043,63273,63406,63774,64323,64576,65206,65554,65740,65848,65694,65707,65694,65418
36117,93624,93790,60977,61142,61152,61621,62278,62468,62771,63054,63252,63077,63216,63112,63066
36119,911628,918532,93791,93794,93735,94001,93860,93727,93595,93539,93739,93643,93772,93260,93012
36121,43527,43584,925511,931577,935219,935799,935457,933401,931426,933414,937449,944201,949113,957052,961073
36123,24355,24613,43399,43061,43007,42955,42852,42780,42673,42515,42281,42236,42155,41930,41771
37001,126232,128743,24723,24725,24688,24898,25008,25129,25025,25234,25352,25303,25348,25387,25271
37003,32492,33274,131423,133346,135239,136009,137619,139311,141462,144712,147704,149954,151131,152847,153659
37005,10437,10567,33774,34187,34665,34998,35343,35786,36243,36609,36840,37053,37198,37108,36964
37007,25340,25288,10673,10740,10740,10776,10790,10788,10940,11061,11131,11125,11155,11024,10923
37009,23989,24181,25342,25553,25723,25749,26386,26585,26599,26664,26837,26917,26948,26508,26311
37011,16255,17040,24480,24750,25029,25288,25684,25838,26134,26506,26858,27144,27281,27132,27099
37013,44423,45001,17318,17706,17867,17896,17971,17945,18104,17949,18024,17925,17797,17766,17630
37015,19964,19903,44950,45084,45216,45418,45618,46059,46622,46702,47297,47485,47759,47707,47497
37017,31969,32143,19762,19829,19841,19897,20018,20057,19936,20927,21121,21216,21282,20968,20591
37019,68618,71367,32270,32714,32782,33129,33684,33934,34114,34285,34665,34852,35190,35004,34922
